"name","nickname","age","birthday","height","weight","weight_class","position","image","sherdog","Wins","Losses","factorien","ufc_position"
"Taylor Lapilus","Double Impact","29","1992-04-08","5'6""","145 lbs","Featherweight",0,"https://www.mma-factory.fr/wp-content/uploads/2021/09/TAYLOR-LAPILUS-e1631848579949.png","https://www.sherdog.com/fighter/Taylor-Lapilus-97337",17,3,true,""
"Damien Lapilus","Walking Dead","33","1988-05-22","5'8""","155 lbs","Lightweight",1,"https://www.mma-factory.fr/wp-content/uploads/2021/09/DAMIEN-LAPILUS-e1631848477911.png","https://www.sherdog.com/fighter/Damien-Lapilus-87477",18,14,true,""
"Alan Baudot","The Black Samourai","33","1988-02-01","6'3""","246 lbs","Heavyweight",2,"https://www.mma-factory.fr/wp-content/uploads/2021/07/gettyimages-1228945409-1024x1024-1-e1629843991617.jpeg","https://www.sherdog.com/fighter/Alan-Baudot-138183",8,2,true,""
"Akhmed Salamov","","31","1990-06-18","0'0""","170 lbs","Welterweight",3,"https://www.mma-factory.fr/wp-content/uploads/2021/10/Akhmed-Salamov-mma-factory-paris-1-400x400.png","https://www.sherdog.com/fighter/Akhmed-Salamov-314339",3,1,true,""
"Mickael Groguhe","","N/A","","0'0""","265 lbs","Heavyweight",4,"https://www.mma-factory.fr/wp-content/uploads/2021/10/Michael-Groguhe-mma-factory-paris-400x400.png","https://www.sherdog.com/fighter/Mickael-Groguhe-393083",0,1,true,""
"Christian M'Pumbu","Everlasting","44","1977-06-02","6'2""","191 lbs","Light Heavyweight",5,"https://www.mma-factory.fr/wp-content/uploads/2021/08/NChristian-MPumbu.png","https://www.sherdog.com/fighter/Christian-MPumbu-10555",21,11,true,""
"Mehdi Ben Lakhdhar","The Last Uchiha","N/A","","6'10""","158 lbs","Welterweight",6,"https://www.mma-factory.fr/wp-content/uploads/2021/10/Mehdi-Ben-Lakhdar-mma-factory-paris-3.png","https://www.sherdog.com/fighter/Mehdi-Ben-Lakhdhar-269793",5,0,true,""
"Nassourdine Imavov","","26","1995-03-01","6'3""","185 lbs","Middleweight",7,"https://www.mma-factory.fr/wp-content/uploads/2021/08/nassourdine-Imanov-e1629816641775.jpeg","https://www.sherdog.com/fighter/Nassourdine-Imavov-217405",11,3,true,""
"Jean-Phael Promeneur","","43","1978-09-20","5'9""","185 lbs","Middleweight",8,"https://www.mma-factory.fr/wp-content/uploads/2021/10/Jean-Phael-Promeneur-mma-factory-paris-1-400x400.png","https://www.sherdog.com/fighter/JeanPhael-Promeneur-119445",9,12,true,""
"Rizlen Zouak","The Lioness of the Atlas","35","1986-05-14","5'5""","135 lbs","Bantamweight",9,"https://www.mma-factory.fr/wp-content/uploads/2021/09/RIZLEN-ZOUAK-e1631848535256.png","https://www.sherdog.com/fighter/Rizlen-Zouak-258681",5,4,true,""
"Iurie Bejenari","","39","1982-04-06","5'4""","124 lbs","Flyweight",10,"https://www.sherdog.com/image_crop/200/300/_images/fighter/13981451951939500_749390591760411_1485092839_o.jpg","https://www.sherdog.com/fighter/Iurie-Bejenari-162607",6,3,true,""
"Ciryl Gane","Bon Gamin","31","1990-05-06","6'5""","247 lbs","Heavyweight",11,"https://www.mma-factory.fr/wp-content/uploads/2021/08/CYRIL-GANE-UFC-265-e1629815446624.png","https://www.sherdog.com/fighter/Ciryl-Gane-293973",10,0,true,""
"Samir Faiddine","Silverback","29","1992-11-09","5'4""","125 lbs","Flyweight",12,"https://www.mma-factory.fr/wp-content/uploads/2021/08/SAMIR-FAIDDINE-2-e1629878110327.png","https://www.sherdog.com/fighter/Samir-Faiddine-138991",11,8,true,""
"Veronica Macedo","","26","1995-10-30","5'3""","125 lbs","Flyweight",13,"https://www.mma-factory.fr/wp-content/uploads/2021/08/veronica-macedo.png","https://www.sherdog.com/fighter/Veronica-Macedo-180217",6,4,true,""
"Tom Duquesnoy","Fire Kid","28","1993-06-21","5'7""","135 lbs","Bantamweight",14,"https://www.sherdog.com/image_crop/200/300/_images/fighter/1423748902duquesnoy.jpg","https://www.sherdog.com/fighter/Tom-Duquesnoy-92239",16,2,false,""
"Valérie Domergue","","36","1985-09-22","5'3""","135 lbs","Bantamweight",15,"https://www.sherdog.com/image_crop/200/300/_images/fighter/1502342548domergue_1.jpg","https://www.sherdog.com/fighter/Valerie-Domergue-194191",4,4,false,""
"Karl Amoussou","Psycho","36","1985-11-21","5'11""","170 lbs","Welterweight",16,"https://www.sherdog.com/image_crop/200/300/_images/fighter/20140726012530_1DX_6618.JPG","https://www.sherdog.com/fighter/Karl-Amoussou-16201",27,9,false,""
"Mickael Lebout","Ragnar","34","1987-08-16","5'11""","155 lbs","Lightweight",17,"https://www.sherdog.com/image_crop/200/300/_images/fighter/1504476425unnamed.png","https://www.sherdog.com/fighter/Mickael-Lebout-81143",21,11,false,""
"Steven Mendes Furtado","","N/A","","0'0""","170 lbs","Welterweight",18,"https://www.mma-factory.fr/wp-content/uploads/2021/10/Steven-Mendes-Furtado-mma-factory-paris-1-400x400.png","https://www.sherdog.com/fighter/Steven-Mendes-Furtado-390839",0,1,false,""
"Nasrudin Nasrudinov","","30","1991-10-06","6'0""","189 lbs","Light Heavyweight",19,"https://www.mma-factory.fr/wp-content/uploads/2021/08/Nasrudin-Nasrudinov.png","https://www.sherdog.com/fighter/Nasrudin-Nasrudinov-156463",9,1,false,""
"Ben Adwubi","","N/A","","6'7""","265 lbs","Heavyweight",20,"https://www.mma-factory.fr/wp-content/uploads/2021/10/Ben-Adwubi-mma-factory-paris-1-400x400.png","https://www.sherdog.com/fighter/Ben-Adwubi-249373",4,2,false,""
"Gadzhi Omargadzhiev","","28","1993-02-24","6'1""","185 lbs","Middleweight",21,"https://www.mma-factory.fr/wp-content/uploads/2021/10/Gadzi-Omargadzhiev-mma-factory-paris-400x400.png","https://www.sherdog.com/fighter/Gadzhi-Omargadzhiev-145315",13,0,false,""
"Francis Ngannou","The Predator","35","1986-09-05","6'4""","263 lbs","Heavyweight",22,"https://www.mma-factory.fr/wp-content/uploads/2021/08/Francis-Ngannou-The-Predator-400x400.png","https://www.sherdog.com/fighter/Francis-Ngannou-152341",16,3,false,""
"Paulin Begai","","N/A","","0'0""","205 lbs","Light Heavyweight",23,"https://www.mma-factory.fr/wp-content/uploads/2021/10/Paulin-Begai-mma-factory-paris-1-400x400.png","https://www.sherdog.com/fighter/Paulin-Begai-334051",2,0,false,""
"John Caseneuil","","N/A","","0'0""","185 lbs","Middleweight",24,"https://www.mma-factory.fr/wp-content/uploads/2021/09/JOHN-CASENEUIL-e1631848685559-400x400.png","https://www.sherdog.com/fighter/John-Caseneuil-269399",1,1,false,""
"Eleni Gathi","","27","1994-08-11","0'0""","125 lbs","Flyweight",25,"https://www.mma-factory.fr/wp-content/uploads/2021/10/Eleni-Gathi-mma-factory-paris-1-400x400.png","https://www.sherdog.com/fighter/Eleni-Gathi-246487",0,2,false,""
"Jordan Zebo","","N/A","","0'0""","170 lbs","Welterweight",26,"https://www.mma-factory.fr/wp-content/uploads/2021/10/Jordan-Zebo-mma-factory-paris-1-400x400.png","https://www.sherdog.com/fighter/Jordan-Zebo-353325",1,0,false,""
"Anthony Dizy","La Masse","33","1988-07-12","5'7""","145 lbs","Featherweight",27,"https://www.sherdog.com/image_crop/200/300/_images/fighter/20141025043307_827Q1378.JPG","https://www.sherdog.com/fighter/Anthony-Dizy-96117",14,4,false,21
"Jerome Le Banner","Geronimo","49","1972-12-26","6'3""","264 lbs","Heavyweight",28,"https://www.mma-factory.fr/wp-content/uploads/2021/08/JEROME-LE-BANNER-22GERONIMO22.jpeg","https://www.sherdog.com/fighter/Jerome-Le-Banner-3423",4,3,false,""
"Thierry Rameau","The African Assassin","37","1984-04-18","5'10""","205 lbs","Light Heavyweight",29,"https://www.sherdog.com/image_crop/200/300/_images/fighter/20140513025319_IMG_5810.JPG","https://www.sherdog.com/fighter/Rameau-Thierry-Sokoudjou-17010",19,18,false,""
"Luc Rousseau","Doberman","N/A","","0'0""","185 lbs","Middleweight",30,"https://www.mma-factory.fr/wp-content/uploads/2021/10/Luc-Rousseau-mma-factory-paris-2-400x400.png","https://www.sherdog.com/fighter/Luc-Rousseau-92967",6,0,false,""
"Johnny Frachey","Fenix","38","1983-10-30","5'8""","145 lbs","Featherweight",31,"https://www.sherdog.com/image_crop/200/300/_images/fighter/20090116080312_johnny1.JPG","https://www.sherdog.com/fighter/Johnny-Frachey-8444",20,13,false,""
"Loic Pinto","","N/A","","0'0""","155 lbs","Lightweight",32,"https://www.mma-factory.fr/wp-content/uploads/2021/09/LOIC-PINTO-e1631848613612-400x400.png","https://www.sherdog.com/fighter/Loic-Pinto-314509",0,2,false,""
